Subfamily,Tribe,Division,Genus,Species,Species authority,Genus authority,Geographic Region,Genus species,Exons,Exons to Capture,Exons Status,Source Institution,Exome,Exome Status,Genome,Genome Status,Sperm,Skin,Notes Status,Notes Taxon,Samples,,,,,,,,,,,
Murinae,Hydromyini,Chrotomys,Archboldomys,luzonensis,Musser,Musser,PHILIPPINES,Archboldomys luzonensis,Y ,N,Exome,,Y ,Complete,,,,,,,Archboldomys_luzonensis_EAR1826_EXOME,,,,,,,,,,,
Murinae,Hydromyini,Chrotomys,Archboldomys,maximus,Balete;  Rickart;  Heaney;  Alviola;  M. V. Duya;  M. R. M. Duya;  Sosa;  & Jansa,Musser,PHILIPPINES,Archboldomys maximus,Y ,Y,To Request,,NO,,,,,,,,,,,,,,,,,,,
Murinae,Arvicanthini,Arvicanthis,Arvicanthis,abyssinicus,,,AFRICA,Arvicanthis abyssinicus,Y ,Y,To Request,,NO,,,,,,,,,,,,,,,,,,,
Murinae,Arvicanthini,Arvicanthis,Arvicanthis,ansorgei,Thomas,,AFRICA,Arvicanthis ansorgei,Y ,Y,To Request,,NO,,,,,,,,,,,,,,,,,,,
Murinae,Arvicanthini,Arvicanthis,Arvicanthis,blicki,Frick,,AFRICA,Arvicanthis blicki,Y ,Y,To Request,,NO,,,,,,,,,,,,,,,,,,,
Murinae,Arvicanthini,Arvicanthis,Arvicanthis,nairobae,J. A. Allen,,AFRICA,Arvicanthis nairobae,Y ,Y,To Request,,NO,,,,,,,,,,,,,,,,,,,
Murinae,Arvicanthini,Arvicanthis,Arvicanthis,neumanni,Matschie,,AFRICA,Arvicanthis neumanni,Y ,Y,To Request,,NO,,,,,,,,,,,,,,,,,,,
Murinae,Arvicanthini,Arvicanthis,Arvicanthis,niloticus,,,AFRICA,Arvicanthis niloticus,Y ,N,Exome,"ABTC	65696		No voucher",ADD ,ADD_Need Sample,,,,,,,Arvicanthis_niloticus_ABTC65696_EC2,,,,,,,,,,,
Murinae,Arvicanthini,Arvicanthis,Arvicanthis,rufinus,Temminck,,AFRICA,Arvicanthis rufinus,Y ,Y,To Request,,NO,,,,,,,,,,,,,,,,,,,
Murinae,Hydromyini,Hydromys,Baiyankamys,habbema,Tate & Archbold,Tate & Archbold,SAHUL,Baiyankamys habbema,Maybe,Maybe,Source??,,Maybe,Failed Extraction at UoM,,,,Y,,,AMNH 110052,,,,,,,,,,,
Murinae,Hydromyini,Hydromys,Baiyankamys,shawmayeri,Hinton,Tate & Archbold,SAHUL,Baiyankamys shawmayeri,Y ,N,Complete,,NO,,,,,Y,,,Baiyankamys_shawmayeri_M25412_EC4,Baiyankamys_shawmayeri_AM_M8661_EC8,,,,,,,,,,
Murinae,Rattini,Rattus,Bandicota,bengalensis,Gray,Bechstein,ASIA,Bandicota bengalensis,Y ,Y,Extract at MV,,NO,,,,,,,,,,,,,,,,,,,
Murinae,Rattini,Rattus,Bandicota,indica,Bechstein,Bechstein,SUNDA,Bandicota indica,Y ,N,Exome,,Y ,In Capture at UoM,,,,,,,,,,,,,,,,,,
Murinae,Rattini,Rattus,Bandicota,savilei,Thomas,Bechstein,ASIA,Bandicota savilei,Y ,Y,Extract at MV,,NO,,,,,,,,,,,,,,,,,,,
Murinae,Phloeomyini,Phloeomys,Batomys,dentatus,Miller,Thomas,PHILIPPINES,Batomys dentatus,Y ,Y,To Request,,NO,,,,,,,,,,,,,,,,,,,
Murinae,Phloeomyini,Phloeomys,Batomys,granti,Thomas,Thomas,PHILIPPINES,Batomys granti,Y ,Y,To Request,,NO,,,,,,,,,,,,,,,,,,,
Murinae,Phloeomyini,Phloeomys,Batomys,hamiguitan,Balete;  Heaney;  Rickart;  Quidlat;  & Ibanez,Thomas,PHILIPPINES,Batomys hamiguitan,Y ,Y,To Request,,NO,,,,,,,,,,,,,,,,,,,
Murinae,Phloeomyini,Phloeomys,Batomys,russatus,Musser;  Heaney;  & Tabaranza Jr.,Thomas,PHILIPPINES,Batomys russatus,Y ,N,Exome,,Y ,In Capture at UoM,,,,,,,,,,,,,,,,,,
Murinae,Phloeomyini,Phloeomys,Batomys,salomonseni,Sanborn,Thomas,PHILIPPINES,Batomys salomonseni,Y ,Y,To Request,,ADD ,ADD_Need New Sample;  JAE3320 = Bullimus,,,,,,,,,,,,,,,,,,
Murinae,Phloeomyini,Phloeomys,Batomys,uragon,Balete;  Rickart;  Heaney;  & Jansa,Thomas,PHILIPPINES,Batomys uragon,Y ,Y,To Request,,NO,,,,,,,,,,,,,,,,,,,
