Label,Filter step,Reads
Genus-sp-nov,3,23879179
Saxatilomys-paulinae,3,22541538
Crunomys-sp.,3,23007072
Microhydromys-richardsoni,3,25141014
Uromys-caudimaculatus,3,24537777
Mirzamys-louiseae,3,27269373
Papagomys-armandvillei,3,24842928
Chiromyscus-chiropus,3,22238978
Pogonomelomys-bruijni,3,20830865
Paraleptomys-sp,3,26265088
Oenomys-hypoxanthus,3,24151562
Bandicota-indica,3,18585649
Rattus-xanthurus,3,25781731
Lenomys-meyeri,3,27004977
Thamnomys-kempi,3,21220287
Parahydromys-asper,3,21831004
Rattus-argentiventer,3,19801018
Uromys-sp-nov,3,23081645
Otomys-tropicalis,3,21855616
Niviventer-cremoriventer,3,29564656
Otomys-denti,3,25038181
Praomys-jacksoni,3,23991526
Mus-pos_ctrl_C,3,2599746
Mus-pos_ctrl_B,3,2389208
Mus-pos_ctrl_D1,3,1699097
Margaretamys-christinae,3,24575961
Dasymys-incomtus,3,24330863
Taeromys-callitrichus,3,27026136
Hybomys-lunaris,3,24662519
Sundamys-annandalei,3,24620284
Nesokia-indica,3,21782864
Macruromys-major,3,27759499
Mus-musculoides,3,41487470
Pelomys-minor,3,29540870
Tarsomys-apoensis,3,22992870
Batomys-russatus,3,21197918
Halmaheramys-bokimekot,3,22373061
Chiruromys-vates,3,27276392
Chrotomys-whiteheadi,3,21066268
Abeomelomys-sevia,3,16061916
Berylmys-mackenzii,3,20832542
Solomys-salebrosus,3,25061839
Zelotomys-woosnami,3,26839213
Kadarsanomys-sodyi,3,12595820
Mallomys-rothschildi,3,23376295
Taeromys-taerae,3,23297202
Vandeleuria-oleracea,3,22410540
Mus-pos_ctrl_A,3,1170432
Mus-pos_ctrl_G,3,924783
Mus-pos_ctrl_D2,3,1396747
Conilurus-albipes,3,100236891
Conilurus-penicillatus,3,23959982
Leggadina-forresti,3,29936252
Leggadina-lakedownensis,3,40905997
Mesembriomys-gouldii,3,29645147
Mesembriomys-macrurus,3,20105535
Notomys-alexis,3,27506615
Notomys-amplus,3,87573404
Notomys-aquilo,3,30059569
Notomys-cervinus,3,25032493
Notomys-fuscus,3,26523847
Notomys-longicaudatus,3,59409013
Notomys-macrotis,3,39282134
Notomys-mitchellii,3,17125179
Pseudomys-patrius,3,26635411
Pseudomys-pilligaensis,3,18970390
Pseudomys-shortridgei,3,25129473
Rattus-colletti,3,30260384
Rattus-tunneyi,3,17235891
Zyzomys-argurus,3,32711463
Zyzomys-maini,3,31266157
Zyzomys-palatalis,3,21313762
Zyzomys-pedunculatus,3,45485901
Zyzomys-woodwardi,3,16062772
,,25414122
,,32985867
,,6777561
,,35966203
,,25490188
,,40007874
,,30851386
,,27694753
,,30159748
,,25877155
,,43467906
,,89153706
,,28344522
,,27711726
,,40891083
,,35566381
,,30353898
,,67928360
,,30070129
,,44790858
